id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
665786,Dryocopus,javensis,,White-bellied Woodpecker,Okamoto Keita Sin,Brunei,"Jalan Badas, Belait",4.559486413,114.4213409,,Call,//www.xeno-canto.org/665786,//www.xeno-canto.org/665786/download,"XC665786-Woodpecker, White-bellied_2021-05-25_0725_BR_JlnBadas.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/ZPYEHLWXXX/ffts/XC665786-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZPYEHLWXXX/ffts/XC665786-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZPYEHLWXXX/ffts/XC665786-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZPYEHLWXXX/ffts/XC665786-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:05,07:25,2021-05-25,2021-07-31,[''],Acknowledgements: I took this sound recording during a fieldwork as a member of the Avian Evolution Lab from the National University of Singapore. Also thanks to Laura and Ulmar for coordinating the fieldwork.,no,no
656517,Dryocopus,javensis,javensis,White-bellied Woodpecker,Ding Li Yong,Malaysia,"Panti Bird Sanctuary, Johor",1.8773,103.9181,10,"adult, call",//www.xeno-canto.org/656517,//www.xeno-canto.org/656517/download,XC656517-White-bellied Woodpecker_Mersing_DLY.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/NWTKEXMKCA/ffts/XC656517-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/NWTKEXMKCA/ffts/XC656517-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/NWTKEXMKCA/ffts/XC656517-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/NWTKEXMKCA/ffts/XC656517-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:15,10:30,2017-06-29,2021-06-14,[''],,no,no
649669,Dryocopus,javensis,parvus,White-bellied Woodpecker,Ding Li Yong,Indonesia,"Teupah Barat, Kabupaten Simeulue, Aceh",2.4634,96.3007,20,"adult, song",//www.xeno-canto.org/649669,//www.xeno-canto.org/649669/download,XC649669-Simeulue Woodpecker3_Teupah_DLY.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/NWTKEXMKCA/ffts/XC649669-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/NWTKEXMKCA/ffts/XC649669-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/NWTKEXMKCA/ffts/XC649669-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/NWTKEXMKCA/ffts/XC649669-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:23,08:30,2017-03-23,2021-05-19,[''],,yes,no
629324,Dryocopus,javensis,,White-bellied Woodpecker,Vincent,China,"Diqing Tibetan Autonomous Prefecture, Yunnan",27.6836,99.5554,2920,"adult, call, male",//www.xeno-canto.org/629324,//www.xeno-canto.org/629324/download,XC629324- - White-bellied Woodpecker - Call - E - Yunnan - VW.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YRBJXFKTAK/ffts/XC629324-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YRBJXFKTAK/ffts/XC629324-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YRBJXFKTAK/ffts/XC629324-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YRBJXFKTAK/ffts/XC629324-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:58,11:00,2021-03-06,2021-03-16,[''],,yes,no
620581,Dryocopus,javensis,confusus,White-bellied Woodpecker,Jelle Scharringa,Philippines,"Pagbilao, Quezon, Calabarzon",13.9844,121.8107,170,"call, male",//www.xeno-canto.org/620581,//www.xeno-canto.org/620581/download,"XC620581-White-bellied Woodpecker (Dryocopus javensis), ssp. confusus #9.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC620581-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC620581-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC620581-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC620581-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:23,12:50,1985-04-13,2021-02-09,[''],One bird 3m up in tree at forest edge along road,yes,no
620578,Dryocopus,javensis,,White-bellied Woodpecker,Jelle Scharringa,Malaysia,"Pasoh Forest Reserve, Negeri Sembilan",3.01,102.3334,90,"call, male",//www.xeno-canto.org/620578,//www.xeno-canto.org/620578/download,"XC620578-White-bellied Woodpecker (Dryocopus javensis), ssp. othersubspecies #5.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC620578-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC620578-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC620578-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC620578-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:14,12:30,1984-08-05,2021-02-09,['Lacedo pulchella'],Two birds in middle storey of inundated forest part with many dead trees,yes,no
620577,Dryocopus,javensis,,White-bellied Woodpecker,Jelle Scharringa,Malaysia,"Pasoh Forest Reserve, Negeri Sembilan",3.01,102.3334,90,"call, male",//www.xeno-canto.org/620577,//www.xeno-canto.org/620577/download,"XC620577-White-bellied Woodpecker (Dryocopus javensis), ssp. othersubspecies #4.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC620577-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC620577-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC620577-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC620577-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:34,17:40,1984-08-04,2021-02-09,['Corydon sumatranus'],"One male in large, isolated trees, finally flying off. Along old logging road through secondary forest.",yes,no
616249,Dryocopus,javensis,pectoralis,White-bellied Woodpecker,Frank Lambert,Philippines,"Trail to plateau, Samar National Park HQ, Eastern Visayas",11.7931,125.1794,260,"call, female",//www.xeno-canto.org/616249,//www.xeno-canto.org/616249/download,XC616249-Dryocopus_javensis_pectoralis-FL f calls Samar NP HQ 11.38am 23Feb20 LS114636a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC616249-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC616249-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC616249-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC616249-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:40,11:36,2020-02-23,2021-01-20,[''],,yes,no
616248,Dryocopus,javensis,pectoralis,White-bellied Woodpecker,Frank Lambert,Philippines,"Trail to plateau, Samar National Park HQ, Eastern Visayas",11.7931,125.1794,260,"call, sex uncertain",//www.xeno-canto.org/616248,//www.xeno-canto.org/616248/download,XC616248-Dryocopus_javensis_pectoralis-FL calls Samar NP HQ 11.21am 23Feb20 LS114628a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC616248-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC616248-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC616248-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC616248-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:37,11:21,2020-02-23,2021-01-20,[''],,unknown,no
578929,Dryocopus,javensis,,White-bellied Woodpecker,Okamoto Keita Sin,Indonesia,Riau Archipelago (coordinates not specific),0.6837,104.26,,Song,//www.xeno-canto.org/578929,//www.xeno-canto.org/578929/download,"XC578929-Woodpecker, White-bellied_2020-01-24_0644_Indonesia_Riau.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/ZPYEHLWXXX/ffts/XC578929-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZPYEHLWXXX/ffts/XC578929-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZPYEHLWXXX/ffts/XC578929-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZPYEHLWXXX/ffts/XC578929-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:14,06:44,2020-01-24,2020-07-25,[''],A pair calling.,yes,yes
